;Tweets;len;ID;Created;Source;Likes;RTs
27;Sistem tiket Persib Bandung sempat diprotes para suporter. Namun, usai tragedi Kanjuruhan sistem tiket Persib mulai… https://t.co/klxjeqZkBm;140;1579434906568232960;2022-10-10 11:33:20+00:00;Echobox;6;1
28;Agnez Mo lokal banget di Synchronize Fest 2022. Seperti apa ya penampilannya?  https://t.co/2ukOlW3Bfi;102;1579434667169951745;2022-10-10 11:32:23+00:00;Echobox;2;1
29;Wakil Bupati Indramayu Lucky Hakim siap dipecat dari jabatannya jika terbukti melakukan kesalahan. https://t.co/TqC5JSdQGe;122;1579434629706051584;2022-10-10 11:32:14+00:00;Echobox;13;0
30;Timnas Indonesia U-17 dibantai Malaysia 1-5 di Kualifikasi Piala Asia U-17, sampai gagal lolos putaran final. Kok,… https://t.co/d6CYgngIZ7;139;1579433973343653888;2022-10-10 11:29:38+00:00;Echobox;7;3
31;Saat ini PSSI masih mencari pelatih Timnas Indonesia U-23 untuk SEA Games 2023. Nama Bima Sakti ikut disebut-sebut.… https://t.co/NhPIjFhPeN;140;1579433952611213313;2022-10-10 11:29:33+00:00;Echobox;4;1
32;Tawuran tersebut terjadi pada Minggu (9/10), sekitar pukul 01.00 WIB dini hari. https://t.co/UynRL9tbSG;103;1579433930087800832;2022-10-10 11:29:28+00:00;Echobox;10;0
33;Cuaca ekstrem rawan kerap terjadi pada musim pancaroba. BPBD Kota Kediri mengimbau warga mewaspadai hujan disertai… https://t.co/w1SMNN5Jfz;139;1579433554957590528;2022-10-10 11:27:58+00:00;Echobox;6;0
34;Pemkab Semarang bekerja sama dengan Dinas Ketahanan Pangan Provinsi Jawa Tengah menyelenggarakan bazar sembako di p… https://t.co/Damx15ZzI8;140;1579433550105174016;2022-10-10 11:27:57+00:00;Echobox;3;0
35;Ternyata ada satu korban selamat dari aksi pembantaian satu keluarga di Way Kanan, Lampung. Ini sosoknya: https://t.co/tBqp9vCZaa;129;1579433259712200704;2022-10-10 11:26:48+00:00;Echobox;6;0
36;Nirina Zubir rajin berolahraga. Ia ingin tetap sehat hingga tua nanti agar bisa melihat anaknya menikah sampai memi… https://t.co/WWqzKykw3q;140;1579432908619538434;2022-10-10 11:25:24+00:00;Echobox;5;1
